,open,high,low,close,volume,day,time
0,209.35,209.35,209.24,209.3,26125,2015-12-01,09:30:00
1,209.3,209.31,209.08,209.16,44537,2015-12-01,10:00:00
2,209.13,209.36,209.07,209.36,9953,2015-12-01,10:30:00
3,209.37,209.65,209.37,209.6,15261,2015-12-01,11:00:00
4,209.55,209.6,209.4,209.44,29143,2015-12-01,11:30:00
5,209.45,209.46,209.33,209.34,33047,2015-12-01,12:00:00
6,209.34,209.59,209.34,209.51,78059,2015-12-01,12:30:00
7,209.52,209.67,209.41,209.43,178967,2015-12-01,13:00:00
8,209.42,209.44,209.27,209.32,247266,2015-12-01,13:30:00
9,209.32,209.56,209.31,209.43,354261,2015-12-01,14:00:00
10,209.44,210.39,209.36,210.24,12411528,2015-12-01,14:30:00
11,210.23,210.26,209.11,209.52,13131027,2015-12-01,15:00:00
12,209.515,210.065,209.31,209.89,7330080,2015-12-01,15:30:00
13,209.9,209.975,209.42,209.75,5777124,2015-12-01,16:00:00
14,210.76,210.93,210.76,210.93,4200,2015-12-02,09:30:00
15,210.91,211.11,210.91,210.96,8115,2015-12-02,10:00:00
16,210.96,211.02,210.9,211.01,1642,2015-12-02,10:30:00
17,211.0,211.09,210.86,210.86,17151,2015-12-02,11:00:00
18,210.84,210.93,210.78,210.78,3697,2015-12-02,11:30:00
19,210.81,210.84,210.63,210.66,83546,2015-12-02,12:00:00
20,210.65,210.82,210.48,210.81,126810,2015-12-02,12:30:00
21,210.77,210.91,210.59,210.76,264402,2015-12-02,13:00:00
22,210.8,210.8,210.46,210.58,195076,2015-12-02,13:30:00
23,210.56,210.7,210.53,210.61,430933,2015-12-02,14:00:00
24,210.615,210.95,210.45,210.8611,8607734,2015-12-02,14:30:00
25,210.865,211.0,210.49,210.6,6056949,2015-12-02,15:00:00
26,210.59,210.83,210.5,210.6,4135915,2015-12-02,15:30:00
27,210.59,210.61,210.135,210.17,6786458,2015-12-02,16:00:00
28,209.55,210.01,209.55,209.9,62396,2015-12-03,09:30:00
29,209.92,210.2,209.83,210.15,63498,2015-12-03,10:00:00
30,210.17,210.23,210.07,210.16,25955,2015-12-03,10:30:00
31,210.12,210.17,210.0,210.05,10610,2015-12-03,11:00:00
32,210.05,210.15,209.96,209.97,42485,2015-12-03,11:30:00
33,209.98,210.01,209.75,209.85,136563,2015-12-03,12:00:00
34,209.88,210.05,209.09,209.5,1411967,2015-12-03,12:30:00
35,209.51,210.02,208.83,209.47,613600,2015-12-03,13:00:00
36,209.47,209.76,207.94,208.9,3375569,2015-12-03,13:30:00
37,208.84,209.47,208.82,208.84,1992536,2015-12-03,14:00:00
38,208.83,209.15,207.93,208.12,15741981,2015-12-03,14:30:00
39,208.1038,208.11,207.24,207.535,12697665,2015-12-03,15:00:00
40,207.53,208.03,207.28,207.76,7291688,2015-12-03,15:30:00
41,207.77,208.38,207.665,208.18,5682376,2015-12-03,16:00:00
42,206.84,206.87,206.52,206.64,22871,2015-12-04,09:30:00
43,206.61,206.62,206.43,206.61,25435,2015-12-04,10:00:00
44,206.57,206.79,206.42,206.79,7979,2015-12-04,10:30:00
45,206.69,206.81,206.57,206.65,10348,2015-12-04,11:00:00
46,206.58,206.64,206.46,206.64,12742,2015-12-04,11:30:00
47,206.61,206.61,206.31,206.41,29476,2015-12-04,12:00:00
48,206.44,206.44,206.19,206.26,138951,2015-12-04,12:30:00
49,206.49,207.23,205.61,206.26,498421,2015-12-04,13:00:00
50,206.32,206.97,206.1,206.11,2130872,2015-12-04,13:30:00
51,206.1,206.25,205.4,206.08,2071938,2015-12-04,14:00:00
52,206.08,207.68,205.93,207.3,21663528,2015-12-04,14:30:00
53,207.295,207.83,206.99,207.685,13004077,2015-12-04,15:00:00
54,207.68,208.39,207.49,208.355,11547092,2015-12-04,15:30:00
55,208.35,208.5,207.95,207.96,11021541,2015-12-04,16:00:00
56,209.91,210.25,209.91,210.06,15724,2015-12-07,09:30:00
57,209.95,210.0,209.91,209.91,4520,2015-12-07,10:00:00
58,209.98,210.08,209.98,210.04,1520,2015-12-07,10:30:00
59,209.95,210.03,209.83,209.83,17530,2015-12-07,11:00:00
60,209.85,210.04,209.78,209.95,25617,2015-12-07,11:30:00
61,210.0,210.15,209.94,210.03,80755,2015-12-07,12:00:00
62,210.07,210.1,209.85,209.87,118094,2015-12-07,12:30:00
63,210.0,210.08,209.33,209.35,322015,2015-12-07,13:00:00
64,209.36,209.42,209.08,209.16,666983,2015-12-07,13:30:00
65,209.15,209.32,209.11,209.2,530829,2015-12-07,14:00:00
66,209.23,209.25,208.575,208.6445,14813482,2015-12-07,14:30:00
67,208.64,208.68,208.14,208.27,8283998,2015-12-07,15:00:00
68,208.26,208.5222,207.5,207.8002,11575317,2015-12-07,15:30:00
69,207.8,209.7295,207.2,207.31,7655036,2015-12-07,16:00:00
70,207.74,207.74,207.29,207.6,6109,2015-12-08,09:30:00
71,207.58,207.91,207.58,207.91,13107,2015-12-08,10:00:00
72,207.89,207.94,207.78,207.87,4904,2015-12-08,10:30:00
73,207.78,207.83,207.57,207.57,15588,2015-12-08,11:00:00
74,207.63,207.64,207.3,207.38,68014,2015-12-08,11:30:00
75,207.37,207.51,206.78,206.92,273378,2015-12-08,12:00:00
76,206.89,207.06,206.66,206.67,246771,2015-12-08,12:30:00
77,206.67,208.14,206.46,206.51,748893,2015-12-08,13:00:00
78,206.52,206.79,206.51,206.61,457011,2015-12-08,13:30:00
79,206.6,206.6,206.32,206.48,678164,2015-12-08,14:00:00
80,206.48,206.94,205.89,206.26,15365504,2015-12-08,14:30:00
81,206.251,206.83,205.86,205.98,11732090,2015-12-08,15:00:00
82,205.97,207.265,205.78,207.21,9616361,2015-12-08,15:30:00
83,207.215,208.289,207.21,207.22,10502248,2015-12-08,16:00:00
84,206.19,206.54,206.08,206.45,35156,2015-12-09,09:30:00
85,206.43,206.48,206.03,206.23,10091,2015-12-09,10:00:00
86,206.25,206.3,206.05,206.05,7417,2015-12-09,10:30:00
